name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
62166,223.099,1114.372857,4824720,1737220,4297280,5419170,0,2223150,1404090,1567120,0,2545280,0,4587400,0,3936130,2348600,0,0,2482210,1669990,6054800,0,1540240,1419870,0,0,0,1519140,2090510,1589460,2301250,4317430,4245740,1514800,1893030,6112830,2907430,1179570,2812380,6072350,0,1327760,2376420,4267840,4405380,37512970,2557670,2678830,0,2026490,2204620,2244020,1718030,988523,1182280,4277120,1588220,4704730,0,4427920,1012980
99605,223.099,574.06,2511030,3920050,1503940,1970140,0,3208440,2987480,2230080,3010750,2823110,5273190,2369450,5136310,1760910,4960480,5036650,3288770,2767530,4343110,1745280,3427700,2186330,7392210,5599940,3764700,9267420,0,1977650,2446040,6957820,0,0,10040450,2966670,1669940,1979090,1423830,0,5204940,3570950,3665370,2068700,1232780,0,0,4389500,3907150,6269200,3719910,2691620,1270540,0,1723190,1536550,1768460,1583950,0,4960710,4033910,2689440
52898,223.064,137.2295,0,0,340900,385254,0,657933,0,361043,399825,322701,0,372212,450034,0,389674,0,337221,386779,0,0,488620,406691,814091,696402,414716,432452,419563,291866,373304,409571,908720,0,388727,794898,0,782997,0,0,0,359604,2267500,2004990,0,960650,487692,0,408738,218099,823197,0,0,0,0,0,1639170,1636120,0,0,382330,345155
135487,223.064,857.9275,1910820,2741450,0,0,8276300,0,2153590,0,0,0,0,0,0,0,0,3446720,0,0,0,5914530,3993910,6572470,6737670,0,0,0,6969340,21549230,0,9128680,3636930,1953310,8592090,0,0,4163870,7344140,7614380,9513290,3848850,7185860,4043280,4421840,0,834633,6561450,0,3963940,5431070,0,0,0,0,1284020,4751850,6128180,5584910,9009620,5953220,3958920
33638,223.128,1090.702059,13183860,9744580,24441000,21727450,5695174,6534328,6741395,5412927,8370515,3359301,2519070,9063669,3571573,18602136,6303350,6068880,3800015,5555340,21094990,25110920,4395537,4132460,8500436,13619030,3636480,0,6618723,8832508,4295440,8567470,842489,7912599,26660130,13492100,20407720,24753420,6203826,5135084,3778652,6378678,0,6428381,15911038,17377680,3133980,4564160,10466070,8287190,8268176,10495180,35738240,19021180,8632270,3898030,10484360,28402000,12818170,6683155,2051200,7824630
122313,223.118,1064.859667,3265740,3356740,0,3999320,12439800,10674320,3476980,4428800,4742550,7891070,3622670,2511580,4328980,0,5982360,5074330,4452220,6221200,2567730,0,6228920,4484900,13481260,3811620,7562600,6730810,5332380,5592300,4665880,3970540,1810960,2778570,3354830,5533150,5830050,8889490,3241430,4608650,4710340,4718430,2150960,2403210,1799640,1250580,0,5568420,3261160,4462320,5462670,5320100,11133420,4044340,3205370,3838790,2314600,7326810,3620170,6478080,9227970,3276020
130464,223.108,673.9332667,164929000,1573700,101263450,0,9601160,49796730,4721360,120088950,2603850,2388720,2825870,74979800,137655000,44152400,3559220,19731280,1471500,2674430,43571300,81406440,5690960,7160040,3867050,1401770,3306800,5696760,10674890,8359410,2517170,4665080,0,0,2586760,3308180,1578930,1375210,1362780,1079550,8269830,2974810,4096041,0,1400460,3152780,13271660,1791460,2773010,11629460,5262920,4961130,2145410,5665390,2121570,2114170,2570240,3556384,7067300,0,2870235,3410710
118925,223.096,613.6958,7788620,11003400,20863860,28241250,0,9966500,35179320,0,11682100,16376500,9783850,22201610,0,6720000,40396800,20496400,0,0,8928790,0,15924300,12113000,13472900,14968500,74274500,34546400,42849210,59214500,11899800,22284000,43717970,25521800,17252400,15530000,30314920,31129070,36164400,22781950,85813600,12009500,49614150,34638200,35019130,25444140,44327000,56774400,36210000,10174700,85986800,47635100,85117800,38262140,27168120,27769370,4135430,10395730,5886910,50205100,0,0
88236,223.109,630.8896364,6515010,0,0,10263600,3873260,0,7525620,23238330,16117900,12675680,36748680,31728100,12920100,10961570,0,13858600,22340640,25725380,15083700,15667700,22409220,29141700,16919870,22838470,17383770,21635880,10542650,17176860,13783250,20966620,0,0,17997220,21291990,12617400,21818040,18031420,19941340,22783430,21184390,0,0,0,0,29399710,29146490,12859420,24387320,23033650,23244520,10529080,10694290,9639530,19792550,27912480,19736000,27120240,33262300,9061000,9271020
95271,223.096,713.525,1930610,2990960,3203850,4608450,3442630,2739520,1736930,5100240,3069470,3399520,5211070,2145170,4996200,4016170,5949010,9533820,2568030,3502320,5205300,3184530,8072330,5093300,4464920,7632430,13577720,7064540,5055730,8098300,2029710,6043310,2222980,2316220,4577870,2515880,2241210,5635860,1351480,1495770,1998110,4702510,3518170,3054340,1740090,806634,2793440,2618540,5479720,7060530,5426130,13159840,2168580,4244730,1446040,1724060,1542510,4226480,2904050,4160070,1773280,1752300
