name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
135340,193.002,341.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130181,193.062,468.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122510,193.122,1129.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120298,193.641,290.3622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106148,193.988,921.1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109304,194.099,411.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119398,193.989,730.5194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118227,194.135,296.4266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106923,194.129,298.3297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77356,194.154,1120.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16773,195.054,1211.8937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53803,195.065,173.1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135620,195.065,847.3927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25618,195.065,949.0925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130051,195.117,587.3185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65717,195.122,1096.4005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95156,195.121,424.9475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120735,195.12,473.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106034,195.137,986.6768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116488,195.138,1396.8954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124326,195.129,1087.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119500,195.123,466.5341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134835,195.123,481.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109634,195.129,272.4775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128045,195.141,315.8405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8945,195.174,1560.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65643,195.417,313.3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137104,195.999,670.2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95508,196.009,670.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99569,196.003,1569.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122532,196.144,890.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124531,197.001,401.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87569,197.085,292.7505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116717,197.151,1205.4846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61130,197.092,767.1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60893,197.166,1070.7046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125306,197.135,570.1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,197.156,1150.5111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40502,197.121,960.3471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12370,197.167,1106.6273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103748,197.127,1682.2275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88722,197.154,569.1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119594,197.176,1184.4533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140966,197.162,1052.0757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12955,197.154,944.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120810,197.154,657.5187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112405,197.176,1269.1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103805,197.174,882.1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36104,197.154,1264.9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96052,197.177,201.2743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95449,197.172,1694.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95131,197.172,1117.0645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8942,197.154,356.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88734,197.175,772.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95451,197.177,710.9373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87846,197.19,937.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121948,197.946,1549.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130606,198.185,994.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83227,199.107,256.5587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95865,199.156,517.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121718,199.164,557.9134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12941,199.14,374.3368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27358,199.169,552.9482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111711,199.148,1129.3423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124979,199.165,1005.0936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75126,199.176,1153.8569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37207,199.178,1160.8687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112373,199.175,884.6793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
