name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
144691,199.169,493.3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787949,0,0,0,0,0,0,0,0
2317,199.169,321.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8817010,0,0,0,0,0,0,3780100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9335850,0,0,0,0,0,0,12920100
98630,199.187,1335.845,0,0,0,0,0,0,0,0,0,0,0,0,8973500,0,0,0,0,5942680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162230,0,0,0,0,0,0,0
10168,199.187,506.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3045270,0,0,0,0,0,0,0,0,0,2101380,0,0,0
70194,199.186,1293.2245,0,0,0,2130400,0,5154200,1690140,8754470,0,0,0,0,0,3590460,4756090,0,4029500,6893810,3098380,3508340,0,0,0,7229150,5343460,0,5689640,0,5436760,6078050,0,0,6176480,7119960,3273660,1422250,0,0,5726530,0,0,0,0,0,0,4381770,0,3062940,0,0,0,0,2369140,0,0,0,3587770,2390780,3949010,5222220
33903,199.183,682.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511780,0,0,0,0,0,0
97390,199.169,1690.71,42368070,51380580,40619380,46995790,61204300,48522130,70219840,33624300,78630600,69545880,95963340,41857810,39059800,39739490,65697000,75625100,61417220,91346000,52998490,57661820,113009400,70614400,42521600,90278190,306752450,127216920,87544570,93421800,55843010,58076400,38738200,41054540,54539940,100389100,48798790,46656050,58642530,30492990,74350400,60883300,56196070,68685830,50171560,45851610,48799300,90394800,80400450,108330000,86397160,77834200,46616610,44074410,36391980,42717070,30823390,100064960,53665170,66948700,90000680,112768700
51452,199.182,470.597,0,0,0,0,0,4902820,4773820,0,0,0,0,4667310,0,0,4864280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5974060,5428540,0,0,0,0,0,0,0,0,0,0,0,0
104488,199.189,1240.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3778660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9772980,0,0,9603090,0,0,0,0,0
56939,199.191,1095.35,0,2232420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074780,0,2574780,0,0,0,0,0,0,0,0,1867010,0,0,0,0,0,0,0,0,0,0,0,0
